Hotel Name;Image;City;Address;Description;Stars;Latitude;Longitude
Four Seasons, Park Lane;https://d13bre0qp8legl.cloudfront.net/hotels/25/bdfd747c70ea3fe549e2ec8c001e9802.jpeg;London;Four Seasons Hotel London at Park Lane, Mayfair, London W1J, UK;Surronded by greenery in the heart of Mayfair,the luxurious and redesigned Four Seasons Hotel London at Park Lane is unique in London, yet still true to the city. Four Seasons Hotel London at Park Lane’s chic design, high-style dining, skilled concierge team and glass-walled rooftop spa and lounge offer travellers to London the highest degree of efficiency and modern sophistication at this London luxury hotel on Park Lane. The Fitness Centre at luxury Four Seasons Hotel London at Park Lane features state-of-the-art cardio and weight-training equipment. Located on the 10th floor, it will inspire your workout with southeast views of Big Ben, the Houses of Parliament and the London Eye. Amaranto is a single London fine dining destination with three different areas – restaurant, bar and lounge – serving an Italian-inspired menu with international flavours throughout the day.;5;51.50396;-0.14937
The Peninsula Paris;https://d13bre0qp8legl.cloudfront.net/hotels/26/61ee616ead006cc709c1a12cdb27c04f.jpeg;Paris;The Peninsula Paris, 75116 Paris, France;Perfectly situated on Avenue Kleber, The Peninsula resides in the heart of Paris within walking distance of the city’s most famous monuments, museums and luxury shopping districts. Located in a late 19th century Haussmanian building, the hotel has been meticulously restored and discreetly modernised enabling guests to experience the ultimate in 21st century style and convenience.;5;48.87106;2.293354
W Barcelona;https://d13bre0qp8legl.cloudfront.net/hotels/28/412d7bbc12b840a6580328363d81110f.jpeg;Barcelona;Carrer de la Canuda, 47, 08002 Barcelona, Spain;Step inside. See for yourself. Designed by world-renowned architect Ricardo Bofill, W Barcelona sets the scene for a spectacular stay. Located on the beachfront along the famous Barceloneta boardwalk. Check into one of our 473 fabulous guestrooms & suites boasting panoramic views over the Mediterranean and city of Barcelona. Mix it up and dine in style at chef Carlos Abellán’s BRAVO24. Get glamorous on our 26th-floor hotspot, at ECLIPSE rooftop bar, or make your way down to our signature Living Room to find WAVE & the W LOUNGE for a cocktail (or two).                                                                                                            ;5;41.385064;2.173403
The Norman Tel Aviv;https://d13bre0qp8legl.cloudfront.net/hotels/30/jd7oDHBx3EzVKIu8QN27eX41BVwl0IRDaMfKhHzw.jpeg;Tel Aviv;Arlozorov St 83, Tel Aviv-Yafo, Israel;A BOUTIQUE HOTEL THAT REDEFINES LUXURY IN TEL AVIV. Welcome to an unforgettable experience in the heart of vibrant Tel Aviv. The Norman Tel Aviv is a fusion of 1920s elegance and exceptional service, housed in two historic buildings, superbly restored to their unique architectural splendor. At The Norman, you can enjoy the ultimate personalised boutique hotel experience with exclusive luxury services and facilities, including a rooftop pool, fitness room, wellness area and world-class fine dining restaurants.               ;5;32.0853;34.781768
Conservatorium;https://d13bre0qp8legl.cloudfront.net/hotels/31/1dd7e29bb8a965bac9272f749f6e8a67.jpeg;Amsterdam;Van Baerlestraat 27, 1071 AN Amsterdam, Netherlands;The Conservatorium Hotel is Amsterdam’s leading luxury lifestyle palace, evoking glamour and elegance for sophisticated, design-literate travellers. Located in Museum Square, the luxury centre and cultural heart of the city, the Conservatorium is an architectural masterpiece that combines a landmark heritage building with a graceful, contemporary design, offering guests a selection of restaurants, a bar, lounge and the 1,000 sqm Akasha Holistic Wellbeing Facility. A destination hotel with a real sense of place, the Conservatorium is known at home and abroad as ‘Amsterdam’s Living Room’.                                                 ;5;52.358631;4.878624
Park Hyatt Vendome;https://d13bre0qp8legl.cloudfront.net/hotels/32/b0c57870b303b0a06c8cc276a869c93e.jpeg;Paris;5 Rue de la Paix, 75002 Paris, France;Experience the City of Lights from its central heart at Park Hyatt Paris-Vendome– one of the most luxurious 5 star hotels in Paris. Our coveted location brings the city to your doorstep, overlooking the fashionable Rue de la Paix and within walking distance of Place Vendome and Opera Garnier. Enjoy evening strolls along the Avenue des Champs-Elysees, browse exhibits at the Louvre Museum and Musee d'Orsay, or spend an afternoon on the Rue du Faubourg Saint Honore, renowned for its haute couture and trendy shops.;5;48.868911;2.330185
The Carlyle, A Rosewood Hotel;https://d13bre0qp8legl.cloudfront.net/hotels/33/cIe7xWwsu0z7ZGWmJqPrJzpABOajAfV9tHC0vC1l.jpeg;New York;1411 2nd Ave, New York, NY 10021, USA;The Carlyle, A Rosewood Hotel is a timeless classic. This New York luxury hotel showcases refined taste and creates a true Manhattan experience for sophisticated travelers. Built in 1930, The Carlyle is a New York City luxury hotel that exudes charm and elegance. For generations, it has been the “home away from home” for world leaders, celebrities and sophisticated travelers. Guests discover remarkable privacy, luxury and impeccable service from this award-winning property.  With 190 lavish rooms and suites, The Carlyle offers the exclusive ambiance of an Upper East Side pied-a-terre. Exquisitely decorated by legendary designers such as Dorothy Draper, Mark Hampton, Alexandra Champalimaud and Thierry Despont, our luxury New York accommodations are a wonderful example of elegance and comfort.                                         ;5;40.78468;-73.96395
The Dominick;https://d13bre0qp8legl.cloudfront.net/hotels/34/be01dbd46dcddfd415f93e12351d63f1.jpeg;New York;246 Spring St, New York;If success hasn't spoiled you, we will. You should expect nothing less from a luxury hotel in lower Manhattan, situated where SoHo meets Tribeca and the West Village. Where celebrated art galleries, restaurants, boutique shopping and nightlife provide guests a true sense of place. Soaring above it all is the Trump SoHo New York, 46-stories and 391 rooms worth of fresh perspective. Inspired by the cobblestone streets and the history of the neighborhood, the intimate yet dramatic two-story lobby combines rich and natural design elements that offer contrast reflecting SoHo's environs.                                ;5;40.725365;-74.005416
The St Regis Bal Harbour;https://d13bre0qp8legl.cloudfront.net/hotels/36/538efe36c1b18d90cbfb9564744ad784.jpeg;Miami;133 Camden Dr, Bal Harbour, FL 33154, USA;The St. Regis Bal Harbour Resort, Miami Beach, awarded the coveted Forbes five-star and AAA five-diamond awards for 2015, is a peerless haven of oceanfront elegance, quiet unwavering taste, anticipatory service and seductive amenities. This exclusive Miami Beach enclave is directly across from the celebrated Bal Harbour Shops mere minutes from the whirlwind energy of South Beach, Miami, and the area's premier events such as the world-renowned Art Basel. Wake in the morning as the gentle breeze of the Atlantic invites you to start your day. Rejuvenate at Remede Spa, with our Wellness Program, or simply stroll along the beach as the ocean caresses the sand. Indulge in gastro-pleasing delights by Jean-Georges at J&G Grill.;5;25.891761;-80.12699
Upper House;https://d13bre0qp8legl.cloudfront.net/hotels/39/7f9ba2554373357afd88422eda927b41.jpeg;Hong Kong;One Pacific Place, 88 Queensway, Central, Hong Kong;Located in Hong Kong, The Upper House was designed by architect Andre Fu. A calming contemporary hotel, The Upper House is a haven within the city. The hotel’s 117 studios and suites are surprisingly spacious, featuring natural materials and gorgeous bathrooms. Enjoy thrilling views from Level 49 at Café Gray Deluxe.                ;5;22.277714;114.165435
